Species,Genus,Family,Order,Class,Phylum
ACH1,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
ACH2,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
ACI1,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Aaci1,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
ACI10,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ACI11,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Aaci2,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
ACI2,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ACI3,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ACI4,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ACI5,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ACI6,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ACI7,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ACI8,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ACI9,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
ADV1,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
ART1,Arthrobacter,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria
ART2,Arthrobacter,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria
ART3,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria
ART4,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria
ART5,Arthrobacter,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria
ART6,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria
ART7,Pseudarthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria
ART8,Paenarthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria
ART9,Paenarthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria
BAC1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
BAC2,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
BAC3,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
BAC4,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
BAC5,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
BAC6,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
BAC7,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
BAC8,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
BOR1,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
BRE1,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
BRE2,Brevundimonas,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
BUR1,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
CHR1,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
CHR2,Chryseobacterium,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
CHR3,Chryseobacterium,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
CHR4,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
CHR5,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
CHR6,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
CUP1,Cupriavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
CUP2,Cupriavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
CUP3,Cupriavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
CUR1,Curtobacterium,Microbacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
DEL1,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
DEL2,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
DYE1,Dyella,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
EMP1,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
EMP2,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
ENS1,Ensifer,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
ENT1,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
ENT2,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
ENT3,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
ESC1,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
FAL1,Falsibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
FIC1,Fictibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
FLA1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
FLA2,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
FLA3,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
FLA4,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
FLA5,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
FLA6,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
HER1,Herbaspirillum,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria
KLE1,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
KLE2,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
KLE3,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
KOS1,Kosakonia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
KOS2,Kosakonia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
LYS1,Lysinibacillus,Planococcaceae,Bacillales,Bacilli,Firmicutes
LYS2,Lysinibacillus,Planococcaceae,Bacillales,Bacilli,Firmicutes
MIC1,Microbacterium,Microbacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
MIC2,Microbacterium,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria
MIC3,Microbacterium,Microbacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
MIC4,Microbacterium,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria
OCH1,Ochrobactrum,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
OCH2,Ochrobactrum,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
PAE1,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
PAE2,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
PAE3,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
PAE4,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
PAE5,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
PAE6,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
Ppar1,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria
PAR1,Paraburkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
PAR2,Paraburkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
PRO1,Providencia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
PRO2,Providencia,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
PSE1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE10,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE11,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE12,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE13,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE14,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE15,Pseudoxanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
PSE2,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE4,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE5,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE6,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE7,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE8,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
PSE9,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
RAL1,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
RAL2,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
RAL3,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
RAL4,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
RAL5,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
RAO1,Raoultella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
RHO1,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria
SIN1,Sinomonas,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria
SPH1,Sphingobacterium,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes
SPH2,Sphingobacterium,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes
SPH3,Sphingobacterium,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes
SPH4,Sphingomonas,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes
STA1,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
STE1,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
STE2,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
STE3,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
VAR1,Variovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria