.alpha.-Amino-.gamma.-butyrolactone	C1COC(=O)C1N.Br	VOC_001
1,1'-Bicyclohexyl, 4-methyl-4'-pentyl-	CCCCCC1CCC(CC1)C2CCC(CC2)C	VOC_002
1,1-Diethoxycyclohexane	CCOC1(CCCCC1)OCC	VOC_003
1,2,3-Benzotriazin-4(3H)-one, 3-[(3-fluorophenyl)methyl]-	C1=CC=C2C(=C1)C(=O)N(N=N2)CC3=CC(=CC=C3)F	VOC_004
1,2,4,5-Tetrazine, 3,6-bis(1,1-dimethylethyl)-	CC(C)(C)C1=NN=C(N=N1)C(C)(C)C	VOC_005
1,2,5-Trimethylpyrrole	CC1=CC=C(N1C)C	VOC_006
1,2-Cyclopentanedicarboxylic acid, 4-ethylidene-, dimethyl ester	CC=C1CC(C(C1)C(=O)OC)C(=O)OC	VOC_007
1,2-Dimethoxy-ethene	CO/C=C/OC	VOC_008
1,2-Ethanediamine, N'-ethyl-N,N-dimethyl-	CCN(CCN(C)C)C1=CC=CC(=C1)C	VOC_009
1,2-Ethanediol, monoformate	C(COC=O)O	VOC_010
1,2-Propanediol, 3-methoxy-	COCC(CO)O	VOC_011
1,3,2-Oxathiaborole, 2-ethyl-	B1(OCCS1)CC	VOC_012
1,3-Cyclohexanediamine	C1CC(CC(C1)N)N	VOC_013
1,3-Diazine	C1=CN=CN=C1	VOC_014
1,3-Dioxane, 2-methyl-	CC1OCCCO1	VOC_015
1,3-Dioxol-2-one	C1=COC(=O)O1	VOC_016
1,3-Dioxolane, 2-hexyl-	CCCCCCC1OCCO1	VOC_017
1,3-Propanediamine	C(CN)CN	VOC_018
1,4 Benzodioxan-6-amine	C1COC2=C(O1)C=CC(=C2)N	VOC_019
1,4-Oxathiin, 2,3-dihydro-6-methyl-	CC1=CSCCO1	VOC_020
1-(2-Methylallyl)azetidine	CC(=C)CN1CCC1	VOC_021
1-(2-Propen-1-yloxy)dodecane	C(CCCCCCCCCCOCC=C)C	VOC_022
1-(3-Hydroxy-3-methylbutyl)-3,6-diazahomoadamantan-9-one	CC(C)(CCC12CN3CCN(C1)CC(C3)C2=O)O	VOC_023
1-Butanol, 2-methyl-, (S)-	CC[C@H](C)CO	VOC_024
1-Heptanol, 6-methyl-	CC(C)CCCCCO	VOC_025
1-Methyl-2-phenylcyclopropane	CC1CC1C2=CC=CC=C2	VOC_026
1-Nitro-2-propanone	CC(=O)C[N+](=O)[O-]	VOC_027
1-Propanol, 2-chloro-2-methyl-	CC(C)(CO)Cl	VOC_028
1-Propene, 2-methyl-3-(1-methylethoxy)-	CC(C)OCC(=C)C	VOC_029
1-Propene, 3,3-dichloro-	C=CC(Cl)Cl	VOC_030
1H-Indazol-5-amine, 3-methyl-	CC1=C2C=C(C=CC2=NN1)N	VOC_031
1H-Indene, octahydro-2,2,4,4,7,7-hexamethyl-, trans-	CC1(CCC(C2C1CC(C2)(C)C)(C)C)C	VOC_032
1H-Indole, 5-fluoro-	C1=CC2=C(C=CN2)C=C1F	VOC_033
1H-Pyrazole, 4,5-dihydro-4,5-dimethyl-	CC1C=NNC1C	VOC_034
1H-Tetrazol-5-amine	C1(=NNN=N1)N	VOC_035
2(5H)-Furanone, 5-(2-hydroxyethylidene)-	C\1=CC(=O)O/C1=C/CO	VOC_036
2,2'-(2,2'-Oxybis(ethane-2,1-diyl)bis(oxy))bis(ethane-2,1-diyl) bis(3-methylbutanoate)	CC(C)CC(=O)OCCOCCOCCOCCOC(=O)CC(C)C	VOC_037
2,2'-Oxybis(ethane-2,1-diyl) bis(2-methylbutanoate)	CCC(C)C(=O)OCCOCCOCCOCCOC(=O)C(C)CC	VOC_038
2,2-Diethoxyacetophenone	CCOC(C(=O)C1=CC=CC=C1)OCC	VOC_039
2,3-Butanediol, [R-(R*,R*)]-	C[C@H]([C@@H](C)O)O	VOC_040
2,3-Dimethyldodecane	CCCCCCCCCC(C)C(C)C	VOC_041
2,4,6-Trimethyl-1,5-diazabicyclo[3.1.0]hexane	CC1CC(N2N1C2C)C	VOC_042
2,5-Dimethylpyrimidine	CC1=CN=C(N=C1)C	VOC_043
2,6-Bis(2-methylpropyl)pyrazine	CC(C)CC1=CN=CC(=N1)CC(C)C	VOC_044
2,6-Dimethyl-6-nitro-2-hepten-4-one	CC(=CC(=O)CC(C)(C)[N+](=O)[O-])C	VOC_045
2,6-Octadiene, 3,7-dimethyl-1-(2-propenyloxy)-	CC(=CCC/C(=C/COCC=C)/C)C	VOC_046
2,9-Diazabicyclo[4.4.0]decane, cis-	C1C[C@@H]2CCNC[C@@H]2NC1	VOC_047
2-(1-Cyclopentenyl)furan	C1CC=C(C1)C2=CC=CO2	VOC_048
2-(1H-Pyrazol-3-yl)acetaldehyde	C1=C(NN=C1)CC=O	VOC_049
2-(5-Furan-2-yl-[1,3,4]oxadiazol-2-ylsulfanyl)-N,N-dimethyl-acetamide	CN(C)C(=O)CSC1=NN=C(O1)C2=CC=CO2	VOC_050
2-(Trimethylacetyl)thiophene	CC(C)(C)C(=O)C1=CC=CS1	VOC_051
2-Amino-4-methyl-oxazole	CC1=COC(=N1)N	VOC_052
2-Butanamine, 3,3-dimethyl-	CC(C(C)(C)C)N	VOC_053
2-Butene ozonide	CC1OC(OO1)C	VOC_054
2-Butenoic acid, 2-methyl-, 1-methylethyl ester, (Z)-	C/C=C(/C)\C(=O)OC(C)C	VOC_055
2-Butenoic acid, 3-methyl-, 2-methylpropyl ester	CC(C)COC(=O)C=C(C)C	VOC_056
2-Chloro 5-chloromethylthiophene	C1=C(SC(=C1)Cl)CCl	VOC_057
2-Chlorobenzimidazole	C1=CC=C2C(=C1)NC(=N2)Cl	VOC_058
2-Decene, 7-methyl-, (Z)-	CCCC(C)CCC/C=C\C	VOC_059
2-Ethyl-1-hexanol, methyl ether	CCCCC(CC)COC	VOC_060
2-Ethyl-1-hexanol, trifluoroacetate	CCCCC(CC)COC(=O)C(F)(F)F	VOC_061
2-Heptanol, 5-ethyl-	CCC(CC)CCC(C)O	VOC_062
2-Hexanone, 3-methyl-4-methylene-	CCC(=C)C(C)C(=O)C	VOC_063
2-Hexenoic acid	CCCC=CC(=O)O	VOC_064
2-Hexenoic acid, 3-hexenyl ester, (E,Z)-	CCC/C=C/C(=O)OCC/C=C\CC	VOC_065
2-Hydroxy-2,5-dimethyl-hept-6-en-3-one	CC(CC(=O)C(C)(C)O)C=C	VOC_066
2-Isopropenyl-3-methylpyrazine	CC1=NC=CN=C1C(=C)C	VOC_067
2-Isopropoxyethylamine	CC(C)OCCN	VOC_068
2-Isopropyl-5-oxohexanal	CC(C)C(CCC(=O)C)C=O	VOC_069
2-Isopropylpyrazine	CC(C)C1=NC=CN=C1	VOC_070
2-Methoxy-3-methyl-butyric acid, methyl ester	CC(C)C(C(=O)OC)OC	VOC_071
2-Naphthalenecarboxaldehyde, 3-hydroxy-5-methyl-8-(1-methylethyl)-	CC1=C2C=C(C(=CC2=C(C=C1)C(C)C)C=O)O	VOC_072
2-Octanol, 3-methyl-	CCCCCC(C)C(C)O	VOC_073
2-Pentene, 5-butoxy-, (E)-	CCCCOCC/C=C/C	VOC_074
2-Propanol, 1-isopropoxy-2-methyl-	CC(C)OCC(C)(C)O	VOC_075
2-Propanone, 1,1-dipropoxy-	CCCOC(C(=O)C)OCCC	VOC_076
2-Propenoic acid, 2-methyl-, propyl ester	CCCOC(=O)C(=C)C	VOC_077
2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester	C=CC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	VOC_078
2-Propenoic acid, ethenyl ester	C=CC(=O)OC=C	VOC_079
2-Propyl-1-pentanol	CCCC(CCC)CO	VOC_080
2-Propyl-1-pentanol, methyl ether	CCCC(CCC)COC	VOC_081
2-Propyn-1-amine, N,N-di-2-propynyl-	C#CCN(CC#C)CC#C	VOC_082
2-Propyn-1-ol, acetate	CC(=O)OCC#C	VOC_083
2-Pyrazoline, 1-butyl-5-methyl-	CCCCN1C(CC=N1)C	VOC_084
2-Pyrazoline, 4-ethyl-1-methyl-	CCC1CN(N=C1)C	VOC_085
3,4-Dichloro-1,2,5-thiadiazole	C1(=NSN=C1Cl)Cl	VOC_086
3,4-Hexanedione, 2,2,5-trimethyl-	CC(C)C(=O)C(=O)C(C)(C)C	VOC_087
3,5-Dimethyl-4-octanone	CCCC(C)C(=O)C(C)CC	VOC_088
3,5-Dimethyldodecane	CCCCCCCC(C)CC(C)CC	VOC_089
3,5-Heptanedione, 2,4,6-trimethyl	CC(C)C(=O)C(C)C(=O)C(C)C	VOC_090
3-Butoxy-2,4-dimethyl-1-pentene	CCCCOC(C(C)C)C(=C)C	VOC_091
3-Decene, 2,2-dimethyl-, (E)-	CCCCCC/C=C/C(C)(C)C	VOC_092
3-Ethyl-2,6,10-trimethylundecane	CCC(CCC(C)CCCC(C)C)C(C)C	VOC_093
3-Formyl-1-isopropyl-2(1H)-pyridone	CC(C)N1C=CC=C(C1=O)C=O	VOC_094
3-Heptanone, 2,4-dimethyl-	CCCC(C)C(=O)C(C)C	VOC_095
3-Hepten-2-one, 5-methyl-	CCC(C)/C=C/C(=O)C	VOC_096
3-Hexen-2-one, 3,4-dimethyl-, (E)-	CC/C(=C(\C)/C(=O)C)/C	VOC_097
3-Isopropoxybenzoic acid, methyl ester	CC(C)OC1=CC=CC(=C1)C(=O)OC	VOC_098
3-Pentanol, 2,2-dimethyl-	CCC(C(C)(C)C)O	VOC_099
3-Pyridinesulfonic acid	C1=CC(=CN=C1)S(=O)(=O)O	VOC_100
4,5,6,7-Tetrahydro-3-methylbenzofuran	CC1=COC2=C1CCCC2	VOC_101
4-Cyclohexyl-1-butanol	C1CCC(CC1)CCCCO	VOC_102
4-Cyclopentene-1,3-dione, 4-methoxy-5-methyl-	CC1=C(C(=O)CC1=O)OC	VOC_103
4-Hexen-2-one, 3,4-dimethyl-	CC=C(C)C(C)C(=O)C	VOC_104
4-Methoxy-3-buten-2-one	CC(=O)/C=C\OC	VOC_105
4-Penten-2-one, 3-methyl-	CC(C=C)C(=O)C	VOC_106
4-Pentenoic acid ethyl ester	CCOC(=O)CCC=C	VOC_107
4-Phenylbut-3-ene-1-yne	C#C/C=C/C1=CC=CC=C1	VOC_108
4-Propyl-2-hydroxycyclopent-2-en-1-one	CCCC1CC(=O)C(=C1)O	VOC_109
4-Pyrimidinamine, 2,6-difluoro-	C1=C(N=C(N=C1F)F)N	VOC_110
5,5-Dibutylnonane	CCCCC(CCCC)(CCCC)CCCC	VOC_111
5-Isopropyl-2,8-dimethyl-9-oxatricyclo[4.4.0.0(2,8)]decan-7-one	CC(C)C1CCC2(C3C1C(=O)C2(OC3)C)C	VOC_112
5-Methyl-4-hexene-1-yl acetate	CC(=CCCCOC(=O)C)C	VOC_113
5-Methylhexane-2,4-dione, enol	CC(C)/C(=C/C(=O)C)/O	VOC_114
5-Nonanone, 2-methyl-	CCCCC(=O)CCC(C)C	VOC_115
6-Dodecanol	CCCCCCC(CCCCC)O	VOC_116
9-Borabicyclo[3.3.1]nonan-9-amine, N-(2,2-dimethylpropylidene)-	B1(C2CCCC1CCC2)/N=C/C(C)(C)C	VOC_117
Acetaldehyde, bis(1-methylethyl)hydrazone	C/C=N/N(C(C)C)C(C)C	VOC_118
Acetamide, 2-fluoro-	C(C(=O)N)F	VOC_119
Acetic acid, 1-methylcyclopentyl ester	CC(=O)OC1(CCCC1)C	VOC_120
Acetic acid, 2-fluoroethyl ester	CC(=O)OCCF	VOC_121
Acetic acid, chloro-, 2-phenylethyl ester	C1=CC=C(C=C1)CCOC(=O)CCl	VOC_122
Acetic acid, chlorodifluoro-	C(=O)(C(F)(F)Cl)O	VOC_123
Acetic acid, methoxy-	COCC(=O)O	VOC_124
Acetic acid, oxo-, methyl ester	COC(=O)C=O	VOC_125
Acetoin	CC(C(=O)C)O	VOC_126
Acetonitrile,2-(methylimino)	CN=CC#N	VOC_127
Acetyl chloride, chloro-	C(C(=O)Cl)Cl	VOC_128
Acetyl valeryl	CCCCC(=O)C(=O)C	VOC_129
Adipic acid, 2,5-dimethylphenyl hexyl ester	CCCCCCOC(=O)CCCCC(=O)OC1=C(C=CC(=C1)C)C	VOC_130
Alanine, N-methyl-N-isobutoxycarbonyl-, isobutyl ester	CC(C)COC(=O)C(C)N(C)C(=O)OCC(C)C	VOC_131
Allyl n-octyl ether	CCCCCCCCOCC=C	VOC_132
Ammonium acetate	CC(=O)[O-].[NH4+]	VOC_133
Aziridine, 1-propyl-	CCCN1CC1	VOC_134
Aziridine, 2-ethyl-	CCC1CN1	VOC_135
Benzene, 1,3-bis(1,1-dimethylethyl)-2-methoxy-5-methyl-	CC1=CC(=C(C(=C1)C(C)(C)C)OC)C(C)(C)C	VOC_136
Benzene, 1-isocyano-2-methyl-	CC1=CC=CC=C1[N+]#C	VOC_137
Benzene, 1-isocyano-3-methyl-	CC1=CC(=CC=C1)[N+]#C	VOC_138
Benzene, 1-isocyano-4-methyl-	CC1=CC=C(C=C1)[N+]#C	VOC_139
Benzocyclodecene, tetradecahydro-	C1CCCCC2CCCCC2CCC1	VOC_140
Benzoic acid, 4-(acetyloxy)-, methyl ester	CC(=O)OC1=CC=C(C=C1)C(=O)OC	VOC_141
Benzonitrile, 4-fluoro-	C1=CC(=CC=C1C#N)F	VOC_142
Benzyl chloromethyl sulfide	C1=CC=C(C=C1)CSCCl	VOC_143
Borane, propadienediylidenetetrakis[difluoro-	B(C(=C=C(B(F)F)B(F)F)B(F)F)(F)F	VOC_144
Boron, trihydro(pyridine)-, (T-4)-	[B].C1=CC=NC=C1	VOC_145
Butanal, 3,3-dimethyl-2-oxo-, hemihydrate	CC(C)(C)C(=O)C=O	VOC_146
Butanal, oxime	CCCC=NO	VOC_147
Butanamide	CCCC(=O)N	VOC_148
Butane, 1-(1-methylpropoxy)-	CCCCOC(C)CC	VOC_149
Butane, 1-chloro-2-methyl-, (S)-	CCC(C)CCl	VOC_150
Butane, 2-azido-2,3,3-trimethyl-	CC(C)(C)C(C)(C)N=[N+]=[N-]	VOC_151
Butanedinitrile, 2,3-diamino-2,3-dimethyl-	CC(C#N)(C(C)(C#N)N)N	VOC_152
Butanoic acid, .alpha.-[(2-methoxy-1,2-dioxoethyl)hydrazono]-	CC/C(=N/NC(=O)C(=O)OC)/C(=O)O	VOC_153
Butanoic acid, 3-oxo-, 2-propenyl ester	CC(=O)CC(=O)OCC=C	VOC_154
Butanoic acid, anhydride	CCCC(=O)OC(=O)CCC	VOC_155
Butyl isopropylphosphonofluoridate	CCCCOP(=O)(C(C)C)F	VOC_156
Carbonic acid 3,5-dichloro-2,6-dimethyl-4-pyridyl ethyl ester	CCOC(=O)OC1=C(C(=NC(=C1Cl)C)C)Cl	VOC_157
Carbonic acid, ethyl-, methyl ester	CCOC(=O)OC	VOC_158
Chloro-methyl-methoxy-amine	CN(OC)Cl	VOC_159
Chloromethyl chloroacetate	C(C(=O)OCCl)Cl	VOC_160
Chloromethylmethyl sulfide	CSCCl	VOC_161
Cyanic acid, butyl ester	CCCCOC#N	VOC_162
Cyclobutane, 1,1,2,3,3-pentamethyl-	CC1C(CC1(C)C)(C)C	VOC_163
Cyclobutane, 1,2-bis(1-methylethenyl)-, trans-	CC(=C)[C@@H]1CC[C@H]1C(=C)C	VOC_164
Cyclobutanol	C1CC(C1)O	VOC_165
Cyclobutanol, 1-butyl-	CCCCC1(CCC1)O	VOC_166
Cyclobutanone, oxime	C1CC(=NO)C1	VOC_167
Cyclodecene, 3-bromo-	C1CCC/C=C\C(CCC1)Br	VOC_168
Cyclododecanemethanol	C1CCCCCC(CCCCC1)CO	VOC_169
Cyclododecanol, 1-ethenyl-	C=CC1(CCCCCCCCCCC1)O	VOC_170
Cycloheptanol, trifluoroacetate	C1CCCC(CC1)OC(=O)C(F)(F)F	VOC_171
Cyclohexane, 1-ethyl-1,3-dimethyl-, cis-	CC[C@@]1(CCC[C@@H](C1)C)C	VOC_172
Cyclohexanemethanol	C1CCC(CC1)CO	VOC_173
Cyclohexanemethanol, .alpha.-methyl-.alpha.-(1-methyl-2-propenyl)-, (R*,S*)-(.+-.)-	CC(C=C)C(C)(C1CCCCC1)O	VOC_174
Cyclopentene, 1-ethenyl-3-methylene-	C=CC1=CC(=C)CC1	VOC_175
Cyclopropane, 1-heptyl-2-methyl-	CCCCCCCC1CC1C	VOC_176
Cyclopropane, cyclopropylidene-	C1CC1=C2CC2	VOC_177
Decane, 2,3,6-trimethyl-	CCCCC(C)CCC(C)C(C)C	VOC_178
Decane, 2,3,8-trimethyl-	CCC(C)CCCCC(C)C(C)C	VOC_179
Decane, 2,8,8-trimethyl-	CCC(C)(C)CCCCCC(C)C	VOC_180
Decane, 3,6-dimethyl-	CCCCC(C)CCC(C)CC	VOC_181
Decane, 6-ethyl-2-methyl-	CCCCC(CC)CCCC(C)C	VOC_182
Decanoic acid, 2,8-dimethyl-, methyl ester	CCC(C)CCCCCC(C)C(=O)OC	VOC_183
Diethylhydroxylamine	CCN(CC)O	VOC_184
Diundecylneopentylamine	CCCCCCCCCCCN(CCCCCCCCCCC)CC(C)(C)C	VOC_185
Dodecane, 2,5-dimethyl-	CCCCCCCC(C)CCC(C)C	VOC_186
Dodecane, 2,7,10-trimethyl-	CCC(C)CCC(C)CCCCC(C)C	VOC_187
Ether, tert-butyl isopropylidenecyclopropyl	CC(=C1CC1OC(C)(C)C)C	VOC_188
Ethyl 1-methylcyclopropanecarboxylate	CCOC(=O)C1(CC1)C	VOC_189
Ethyl 4-ethoxyphenylacetate	CCOC1=CC=C(C=C1)CC(=O)OCC	VOC_190
Ethyl Acetate	CCOC(=O)C	VOC_191
Ethylenediamine	C(CN)N	VOC_192
Ethylenimine, N-chloro-	C1CN1Cl	VOC_193
Formamide, N-formyl-N-methyl-	CN(C=O)C=O	VOC_194
Furan-2-carbonyl chloride, tetrahydro-	C1CC(OC1)C(=O)Cl	VOC_195
Heptane, 3-(chloromethyl)-	CCCCC(CC)CCl	VOC_196
Heptane, 4-ethyl-2,2,6,6-tetramethyl-	CCC(CC(C)(C)C)CC(C)(C)C	VOC_197
Heptanoic acid, 1-methylethyl ester	CCCCCCC(=O)OC(C)C	VOC_198
Hex-2-yn-4-one, 2-methyl-	CC#CC(=O)C(C)C	VOC_199
Hexane, 1-ethoxy-	CCCCCCOCC	VOC_200
Hexanoic acid, 1,1-dimethylethyl ester	CCCCCC(=O)OC(C)(C)C	VOC_201
Hydrazine, (2-methylpropyl)-	CC(C)CNN	VOC_202
Hydrazine, 1,1-diethyl-	CCN(CC)N	VOC_203
Hydrazine, 1,1-diethyl-2-(1-methylethyl)-	CCN(CC)NC(C)C	VOC_204
Malonyl dichloride	C(C(=O)Cl)C(=O)Cl	VOC_205
Methanamine, N,N-difluoro-	CN(F)F	VOC_206
Methanamine, N-butylidene-	CCCC=NC	VOC_207
Methane, fluorotrinitro-	C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])F	VOC_208
Methoxyacetaldehyde diethyl acetal	CCOC(COC)OCC	VOC_209
Methyl 2,4-dimethyltridecanoate	CCCCCCCCCC(C)CC(C)C(=O)OC	VOC_210
Methyl 2,8-dimethyltridecanoate	CCCCCC(C)CCCCCC(C)C(=O)OC	VOC_211
Methyl 2-acetamidoacrylate	CC(=O)NC(=C)C(=O)OC	VOC_212
Methyl 2-butynoate	CC#CC(=O)OC	VOC_213
Methyl 7,9-tridecadienyl ether	CCC/C=C/C=C/CCCCCCOC	VOC_214
Methyl-4-deoxy-2-O-methyl.beta.l-threo-hex-4-enopyranosid uronate	COC1C(C=C(OC1OC)C(=O)O)O	VOC_215
Methylamine, N-cyclopentylidene-	CN=C1CCCC1	VOC_216
N',N'-Dimethyl-N-[2,2,3,3-tetracyano-4-(2-furyl)cyclopentyl]acetohydrazide	CC(=O)N(C1CC(C(C1(C#N)C#N)(C#N)C#N)C2=CC=CO2)N(C)C	VOC_217
N-(4-Methylphenyl)-4-methylbenzenesulfenamide	CC1=CC=C(C=C1)NSC2=CC=C(C=C2)C	VOC_218
N-(9-Ethyl-9H-carbazol-3-yl)-2,2,3,3,3-pentafluoropropanamide	CCN1C2=C(C=C(C=C2)NC(=O)C(C(F)(F)F)(F)F)C3=CC=CC=C31	VOC_219
Nonane, 2-methyl-5-propyl-	CCCCC(CCC)CCC(C)C	VOC_220
Nonane, 3-methyl-5-propyl-	CCCCC(CCC)CC(C)CC	VOC_221
Nonane, 5-methyl-5-propyl-	CCCCC(C)(CCC)CCCC	VOC_222
Octane, 2,3,6,7-tetramethyl-	CC(C)C(C)CCC(C)C(C)C	VOC_223
Octane, 5-ethyl-2-methyl-	CCCC(CC)CCC(C)C	VOC_224
Octanoic acid, 2,6-dimethyl-, methyl ester	CCC(C)CCCC(C)C(=O)OC	VOC_225
Oxazolidine, 2,2,5-trimethyl-3-propyl-	CCCN1CC(OC1(C)C)C	VOC_226
Oxetane, 3,3-dimethyl-	CC1(COC1)C	VOC_227
Oxetane, 3-(1-methylethyl)-	CC(C)C1COC1	VOC_228
Oxirane, (bromomethyl)-	C1C(O1)CBr	VOC_229
Oxirane, (ethoxymethyl)-	CCOCC1CO1	VOC_230
Oxirane, 2-(1,1-dimethylethyl)-3-methyl-	CC1C(O1)C(C)(C)C	VOC_231
Oxirane, 2-methyl-3-(1-methylethyl)-	CC1C(O1)C(C)C	VOC_232
Pentadecanoic acid, 2,6,10,14-tetramethyl-, methyl ester	CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)OC	VOC_233
Pentane, 2,4-dimethyl-2-nitro-	CC(C)CC(C)(C)[N+](=O)[O-]	VOC_234
Pentanedioic acid, 2-methyl-, dimethyl ester	CC(CCC(=O)OC)C(=O)OC	VOC_235
Pentanedioic acid, 3-methyl-, dimethyl ester	CC(CC(=O)OC)CC(=O)OC	VOC_236
Pentanoic acid, 2-methylbutyl ester	CCCCC(=O)OCC(C)CC	VOC_237
Pivalic acid, 2-methylpropyl ester	CC(C)COC(=O)C(C)(C)C	VOC_238
Pivaloylacetone, enol form	CC(=O)/C=C(/C(C)(C)C)\O	VOC_239
Plumbane, dimethylbis(trifluoromethyl)-	C[Pb](C)(C(F)(F)F)C(F)(F)F	VOC_240
Prop-2-yn-1-yl 2-methylbutanoate	CCC(C)C(=O)OCC#C	VOC_241
Propanal, 2-propenylhydrazone	CCC=NNCC=C	VOC_242
Propane, 1-chloro-2,2-dimethyl-	CC(C)(C)CCl	VOC_243
Propanoic acid, 2,2-dimethyl-, propyl ester	CCCOC(=O)C(C)(C)C	VOC_244
Propanoic acid, 2-hydroxy-2-methyl-	CC(C)(C(=O)O)O	VOC_245
Propanoic acid, 2-methyl-, 1-methylethyl ester	CC(C)C(=O)OC(C)C	VOC_246
Propanoic acid, 2-methyl-, propyl ester	CCCOC(=O)C(C)C	VOC_247
Propanoic acid, anhydride	CCC(=O)OC(=O)CC	VOC_248
Propiolactone	C1COC1=O	VOC_249
Pyridin-2,6-diol, diacetate	CC(=O)OC1=NC(=CC=C1)OC(=O)C	VOC_250
Pyrimidine, 2-methyl-	CC1=NC=CC=N1	VOC_251
Pyrimidine, 4,6-dimethyl-	CC1=CC(=NC=N1)C	VOC_252
Tartaric acid, methyl ester	COC(=O)C(C(C(=O)OC)O)O	VOC_253
Tetradecane, 4-ethyl-	CCCCCCCCCCC(CC)CCC	VOC_254
Tetramethylhydrazine	CN(C)N(C)C	VOC_255
Thiazole, 2-methyl-4-(1-methylethyl)-	CC1=NC(=CS1)C(C)C	VOC_256
Thietane, 1-oxide	C1CS(=O)C1	VOC_257
Thietane, 3-methyl-	CC1CSC1	VOC_258
Thiophene, 2,5-dibutyl-	CCCCC1=CC=C(S1)CCCC	VOC_259
Triallylhydrazine	C=CCNN(CC=C)CC=C	VOC_260
Tridecane, 2,5-dimethyl-	CCCCCCCCC(C)CCC(C)C	VOC_261
Triisobutylaluminum	CC(C)C[Al](CC(C)C)CC(C)C	VOC_262
Undecane, 3,8-dimethyl-	CCCC(C)CCCCC(C)CC	VOC_263
Undecane, 4,7-dimethyl-	CCCCC(C)CCC(C)CCC	VOC_264
Undecanoic acid, 2-methyl-, methyl ester	CCCCCCCCCC(C)C(=O)OC	VOC_265
Z-1,6-Tridecadiene	CCCCCC/C=C\CCCC=C	VOC_266
Z-9-Pentadecenol	CCCCC/C=C\CCCCCCCCO	VOC_267
l-Proline, N-propoxycarbonyl-, decyl ester	CCCCCCCCCCOC(=O)C1CCCN1C(=O)OCCC	VOC_268
m-Aminophenylacetylene	C#CC1=CC(=CC=C1)N	VOC_269
n-Butyl nitrite	CCCCON=O	VOC_270
t-Butyl isobutyl ketone	CC(C)CC(=O)C(C)(C)C	VOC_271
trans,trans-3,5-Heptadien-2-one	C/C=C/C=C/C(=O)C	VOC_272
